#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              1.5475              1.5475              0.0234  
forward:               0.1000              0.9988              2.5464              0.0301  
forward:               0.1500              0.5324              3.0787              0.0325  
forward:               0.2000              0.2829              3.3616              0.0340  
forward:               0.2500              0.1593              3.5209              0.0350  
forward:               0.3000              0.0771              3.5981              0.0356  
forward:               0.3500              0.0418              3.6398              0.0360  
forward:               0.4000              0.0001              3.6399              0.0364  
forward:               0.4500             -0.0245              3.6154              0.0368  
forward:               0.5000             -0.0498              3.5656              0.0371  
forward:               0.5500             -0.1069              3.4587              0.0375  
forward:               0.6000             -0.2549              3.2038              0.0384  
forward:               0.6500             -0.4782              2.7257              0.0396  
forward:               0.7000             -0.6629              2.0628              0.0406  
forward:               0.7500             -0.7637              1.2991              0.0412  
forward:               0.8000             -0.7936              0.5055              0.0416  
forward:               0.8500             -0.7543             -0.2488              0.0419  
forward:               0.9000             -0.7109             -0.9598              0.0422  
forward:               0.9500             -0.6600             -1.6197              0.0424  
forward:               1.0000             -0.6173             -2.2370              0.0427  
backward:              1.0000              0.0000             -2.2370              0.0000  
backward:              0.9500              0.6091             -1.6279              0.0061  
backward:              0.9000              0.6485             -0.9794              0.0087  
backward:              0.8500              0.7008             -0.2786              0.0108  
backward:              0.8000              0.7395              0.4610              0.0121  
backward:              0.7500              0.7829              1.2439              0.0140  
backward:              0.7000              0.7674              2.0113              0.0163  
backward:              0.6500              0.6738              2.6851              0.0203  
backward:              0.6000              0.4931              3.1781              0.0229  
backward:              0.5500              0.2997              3.4779              0.0364  
backward:              0.5000              0.1350              3.6129              0.0372  
backward:              0.4500              0.0588              3.6717              0.0377  
backward:              0.4000              0.0364              3.7081              0.0381  
